	Atha_Ler.0_sShoots_FLT_Rep1_F.F2_raw.CEL	Atha_Ler.0_sShoots_FLT_Rep2_F.F3_raw.CEL	Atha_Ler.0_sShoots_FLT_Rep3_F.F4_raw.CEL	Atha_Ler.0_sShoots_GC_Rep1_H.F2_raw.CEL	Atha_Ler.0_sShoots_GC_Rep2_H.F3_raw.CEL	Atha_Ler.0_sShoots_GC_Rep3_H.F4_raw.CEL
254346_at	6.34350749552072	6.1520728291354	6.12236089027292	6.5284819215006	6.31901975382066	6.56624860242947
254347_at	1.49365593277731	1.30945681172953	1.35399605564514	1.48079147815079	1.94035102882919	1.44632423229338
254348_at	5.94415379553279	6.56212177576937	5.96196903579987	5.94612051202506	5.83498128446939	5.4224136947046
254349_at	3.62228570794435	3.26570075951718	3.23179885589494	3.70911210941953	2.88463370217387	3.53584609483353
254350_at	2.47472826761933	2.97062896791005	2.73964649778248	2.55923706937062	2.68534663289157	2.4368864325899
254351_at	3.37565578800736	3.70720946907189	3.03431946551762	3.88437873309628	3.19320084363023	2.7987568978679
254352_at	2.26914007936082	2.27658538471648	2.28408603145954	2.28400371344638	2.06125697011458	2.18990306583596
254353_s_at	6.86006002274614	6.26064502963224	7.0632917035707	6.65677945065116	7.10866059504597	7.34114702094242
254354_at	1.30298228439516	1.69015352324306	1.32120927287049	1.34690952648719	1.43388981395337	1.72226613733023
254355_at	2.99425463507323	3.15800158149002	3.55225389349742	3.29958804480326	2.78262543495924	2.85650457271137
254356_at	6.96433857959563	7.1258944946371	7.28735741067173	6.59072852688651	6.4716338374049	6.28105537241735
254357_at	4.15353897171622	4.99562599365275	4.83194228271721	4.89550137334836	5.48875873496221	5.81550044845966
254358_at	6.82543366583375	7.01995426204167	6.93920445567204	6.5849092001816	6.93344510704023	6.12172909873515
254359_at	3.11056127109584	3.42472975190627	2.98264482121257	3.35896612041156	4.63883976328978	4.58308878721627
254360_at	1.46622532958075	1.25154698170364	1.44332142029831	1.43847114663399	1.44210885188223	1.44444984525612
254361_at	2.74210744512027	2.99708495215376	4.24517169703129	2.14098064244653	2.28405718476568	2.02914200479351
254362_at	3.56807327634749	3.79688487797792	3.478690130495	2.13209082690381	2.01071779017225	2.18990306583596
254363_at	2.38636212467955	2.65806692775439	2.63034370313091	1.18775157342056	1.48890622805034	1.52340158966595
254364_at	4.21769340465935	4.5065814539338	4.39139078600738	4.37113747500787	4.94559222145523	4.76230522619831
254365_at	1.13938592279285	1.53526585854589	1.29219667058041	1.40597288446171	1.49948649555997	1.18527235459558
254366_s_at	1.05987691405369	1.18292858725941	1.09847659409244	1.51329183268818	1.18380192664374	1.27808397446853
254367_at	1.25146084604522	1.63371471159721	1.56819580949365	1.18479112988189	1.34455579035653	1.58651824842598
254368_at	6.21220253655308	5.57258496083852	6.21307187525236	5.92873593344315	5.90597540004699	7.03626765160493
254369_at	3.77210077737057	2.10842450234823	2.29078790346918	2.49316948957146	1.67876324552349	2.19609300370164
254370_at	2.9064568386891	2.06161155273773	2.40627786953223	2.40434228653026	2.13728035320215	2.57066478358521
254371_at	1.97703403705384	1.71174023035266	1.68526398731071	1.66613354287564	2.1459059128789	1.7519327544793
254372_at	6.20822381959444	7.00100412959542	6.99586395861344	7.47965896948383	7.48315368834555	5.26547210886087
254373_at	1.40848345322971	1.57443803683551	1.40848345322971	1.22168530714655	1.42119521738337	1.36483738878498
254374_at	1.90916931696821	1.39219181567486	1.61472794018258	1.73868704867507	2.10979214027831	1.66731357687636
254375_at	4.00631714491778	4.00072937815629	3.99849119684247	4.18361578951533	4.23775009229665	4.48388468472981
254376_at	5.66954472544328	5.23746664447638	5.48278189708673	6.4209844704436	5.55499857602809	6.02318267520543
254377_at	1.21160784188564	1.10926178288434	1.06151350594202	1.43834916975068	1.2915402186061	1.13501884039581
254378_at	5.15103134624081	4.8945865546559	5.17091985641011	5.56511032547641	5.26227299160409	5.40514114606202
